Netlix,https://markets.businessinsider.com/stocks/nflx-stock,tech,432.22205,0,9000
Facebook,https://markets.businessinsider.com/stocks/fb-stock,tech,235.39777,0,9000
Intel,https://markets.businessinsider.com/stocks/intc-stock,tech,62.90179,0,12000
Exxon Mobil,https://markets.businessinsider.com/stocks/xom-stock,oil/gas,49.99178,0,23000
Royal Dutch Shell,https://markets.businessinsider.com/stocks/rds-a-stock,oil/gas,35.86905,0,23000
ConocoPhillips,https://markets.businessinsider.com/stocks/cop-stock,oil/gas,44.69682,0,24000
